Gene	Pred	Actual
b'ENSDARG00000000068'	b'-0.6556448'	b'-0.3690442123659233'
b'ENSDARG00000000103'	b'-0.5662235'	b'-0.0332746727117547'
b'ENSDARG00000000380'	b'-0.663149'	b'-0.9252157142870634'
b'ENSDARG00000000423'	b'-0.6656189'	b'-0.3425362549281354'
b'ENSDARG00000000489'	b'-0.15584181'	b'0.4672103599993654'
b'ENSDARG00000000516'	b'-0.5811633'	b'-0.9470561312805076'
b'ENSDARG00000000588'	b'-0.5006666'	b'-0.3015104120596982'
b'ENSDARG00000000730'	b'-0.23356125'	b'0.0068590216912361'
b'ENSDARG00000000857'	b'-0.6995822'	b'0.0520897899818968'
b'ENSDARG00000000935'	b'0.0063158125'	b'-0.4912858459451758'
b'ENSDARG00000000966'	b'-0.6835637'	b'-0.2763958663070979'
b'ENSDARG00000001437'	b'-0.50486135'	b'-0.7779970987535438'
b'ENSDARG00000001769'	b'-0.41845888'	b'-0.4512097410470395'
b'ENSDARG00000001781'	b'-0.2999484'	b'-0.4946782552927482'
b'ENSDARG00000001818'	b'-0.46562353'	b'-0.6985096672120928'
b'ENSDARG00000001906'	b'-0.5990983'	b'-0.961880043294022'
b'ENSDARG00000002016'	b'-0.7905016'	b'-0.5359552768197245'
b'ENSDARG00000002082'	b'-0.104102716'	b'0.7288700067283106'
b'ENSDARG00000002128'	b'-0.31123394'	b'-0.0497848573396822'
b'ENSDARG00000002193'	b'-0.3927314'	b'-1.0'
b'ENSDARG00000002197'	b'-0.29230607'	b'-0.1338302136517107'
b'ENSDARG00000002249'	b'-0.85967445'	b'-0.5991594615492334'
b'ENSDARG00000002304'	b'-0.5109'	b'-0.8780457774133549'
b'ENSDARG00000002344'	b'-0.49368647'	b'1.930072674160917'
b'ENSDARG00000002405'	b'-0.4182121'	b'-0.13301896893846'
b'ENSDARG00000002508'	b'-0.38660306'	b'-1.0'
b'ENSDARG00000002607'	b'-0.6088951'	b'-0.6772849550833527'
b'ENSDARG00000002690'	b'-0.17704612'	b'0.6323656889488786'
b'ENSDARG00000002707'	b'-0.025214374'	b'-0.8801920556035403'
b'ENSDARG00000002710'	b'-0.10227584'	b'1.2918779819763024'
b'ENSDARG00000002787'	b'-0.37453493'	b'-0.2150077926977137'
b'ENSDARG00000002872'	b'-0.5972177'	b'-0.3202352872258802'
b'ENSDARG00000002947'	b'-0.22271405'	b'-0.0133706172818926'
b'ENSDARG00000002949'	b'-0.43523303'	b'0.7012840631240578'
b'ENSDARG00000002959'	b'-0.8294811'	b'-0.8540825377273124'
b'ENSDARG00000002968'	b'-0.30648136'	b'-0.3713683951163208'
b'ENSDARG00000003132'	b'-0.5643246'	b'0.1751654740803988'
b'ENSDARG00000003229'	b'-0.44398436'	b'-0.8613627562469098'
b'ENSDARG00000003270'	b'-0.19200087'	b'0.2583983034621646'
b'ENSDARG00000003307'	b'-0.11644891'	b'0.2787744724554438'
b'ENSDARG00000003380'	b'-0.22235689'	b'-0.3276538919116157'
b'ENSDARG00000003398'	b'-0.12695989'	b'0.3382393358010998'
b'ENSDARG00000003449'	b'-0.7094593'	b'-0.8931808951970436'
b'ENSDARG00000003531'	b'-0.20146497'	b'0.4882590324347986'
b'ENSDARG00000003599'	b'-0.2634485'	b'2.438196244826337'
b'ENSDARG00000003750'	b'-0.24856582'	b'-0.0998866911495892'
b'ENSDARG00000003751'	b'-0.32807466'	b'0.1265820783792498'
b'ENSDARG00000003899'	b'-0.6203681'	b'-0.5161422639432618'
b'ENSDARG00000003920'	b'0.19803911'	b'1.3685868033056552'
b'ENSDARG00000003938'	b'-0.5424533'	b'0.016329944950419'
b'ENSDARG00000003941'	b'-0.66309786'	b'0.721970025679125'
b'ENSDARG00000003968'	b'-0.43391553'	b'-0.6554897286589794'
b'ENSDARG00000003974'	b'-0.25275517'	b'-0.0314327581773496'
b'ENSDARG00000003984'	b'-0.2623703'	b'-0.2500440561680387'
b'ENSDARG00000003989'	b'-0.663133'	b'-0.9219155150689348'
b'ENSDARG00000003994'	b'-0.5755937'	b'-0.9905435960163076'
b'ENSDARG00000004037'	b'-0.40609306'	b'-0.094999304422058'
b'ENSDARG00000004160'	b'-0.72745466'	b'-0.1799212381166707'
b'ENSDARG00000004169'	b'-0.09875694'	b'0.5455569458303883'
b'ENSDARG00000004218'	b'-0.40469626'	b'-0.4377136410040068'
b'ENSDARG00000004232'	b'-0.16335398'	b'-0.9034809024352772'
b'ENSDARG00000004274'	b'-0.37179556'	b'-0.4325615018894794'
b'ENSDARG00000004307'	b'-0.75875735'	b'-0.9080193981451316'
b'ENSDARG00000004311'	b'-0.46799487'	b'-0.3437097922745982'
b'ENSDARG00000004433'	b'-0.49779025'	b'-0.5712757725106715'
b'ENSDARG00000004455'	b'-0.3314376'	b'-0.8162905078544006'
b'ENSDARG00000004460'	b'-0.5711223'	b'-0.2679377507425479'
b'ENSDARG00000004497'	b'-0.33710393'	b'-0.1903943257199186'
b'ENSDARG00000004498'	b'-0.69407105'	b'-0.9629319979456588'
b'ENSDARG00000004539'	b'-0.31434017'	b'-0.6926043548570474'
b'ENSDARG00000004576'	b'-0.39520037'	b'-0.7116791004803276'
b'ENSDARG00000004680'	b'-0.6714487'	b'0.4462599436159924'
b'ENSDARG00000004692'	b'-0.12458566'	b'0.8062390695675936'
b'ENSDARG00000004724'	b'-0.51561904'	b'0.108098299696795'
b'ENSDARG00000004753'	b'-0.6195946'	b'-0.9298115640169928'
b'ENSDARG00000004763'	b'-0.75429904'	b'-0.9087991191816835'
b'ENSDARG00000004823'	b'-0.6918136'	b'-0.935005440703588'
b'ENSDARG00000004840'	b'-0.42312813'	b'-0.1554591891734216'
b'ENSDARG00000004880'	b'-0.3113505'	b'-0.6774001665815088'
b'ENSDARG00000004988'	b'-0.7071028'	b'-0.9334337619341408'
b'ENSDARG00000005010'	b'-0.88003993'	b'0.0781775023541346'
b'ENSDARG00000005050'	b'-0.7513331'	b'-0.8721030326920652'
b'ENSDARG00000005098'	b'-0.4022736'	b'-0.5034568557701109'
b'ENSDARG00000005122'	b'-0.3676483'	b'0.3053156020045207'
b'ENSDARG00000005134'	b'0.0022236407'	b'0.3997097053272948'
b'ENSDARG00000005179'	b'-0.8144901'	b'-0.45307639410355'
b'ENSDARG00000005210'	b'-0.5475838'	b'-0.3663087766746942'
b'ENSDARG00000005232'	b'-0.8099003'	b'-0.8240570257908137'
b'ENSDARG00000005315'	b'-0.38889578'	b'0.503686440486897'
b'ENSDARG00000005320'	b'-0.76005673'	b'-0.8948353068125291'
b'ENSDARG00000005350'	b'-0.5761112'	b'-0.1038964028065567'
b'ENSDARG00000005359'	b'-0.3004802'	b'0.6364511237345095'
b'ENSDARG00000005382'	b'-0.47198048'	b'-0.2117812868679016'
b'ENSDARG00000005448'	b'-0.33187586'	b'-0.0027537686639965'
b'ENSDARG00000005476'	b'-0.8147892'	b'-0.8963033050758035'
b'ENSDARG00000005518'	b'-0.74170053'	b'-0.8659308163716108'
b'ENSDARG00000005525'	b'-0.4971658'	b'-0.1080766269569299'
b'ENSDARG00000005549'	b'-0.39866683'	b'-0.0464338229534312'
b'ENSDARG00000005652'	b'-0.6527206'	b'-0.519526215606837'
b'ENSDARG00000005670'	b'-0.7636632'	b'-0.9005627153352779'
b'ENSDARG00000005679'	b'-0.5100617'	b'-0.2569397061409937'
b'ENSDARG00000005754'	b'-0.84620774'	b'-0.6170525799845815'
b'ENSDARG00000005772'	b'-0.15165645'	b'0.1960838229788992'
b'ENSDARG00000005799'	b'-0.25701302'	b'0.5666322038009624'
b'ENSDARG00000005870'	b'-0.23083872'	b'0.5523765056382578'
b'ENSDARG00000005941'	b'-0.46577492'	b'-0.1602207813291347'
b'ENSDARG00000006110'	b'-0.38959563'	b'-0.8878194620669579'
b'ENSDARG00000006200'	b'-0.25151807'	b'0.3867536648662436'
b'ENSDARG00000006202'	b'-0.49827412'	b'-0.5649937161872199'
b'ENSDARG00000006215'	b'-0.0729937'	b'-0.0181810172012426'
b'ENSDARG00000006279'	b'-0.4742317'	b'-0.7323168814775373'
b'ENSDARG00000006385'	b'-0.5730676'	b'0.0932711326470045'
b'ENSDARG00000006447'	b'-0.524994'	b'-0.9318539804813932'
b'ENSDARG00000006474'	b'-0.7230691'	b'-0.8432361871798114'
b'ENSDARG00000006491'	b'-0.5281924'	b'-0.4757937305529183'
b'ENSDARG00000006494'	b'-0.3782606'	b'-0.2855127242803698'
b'ENSDARG00000006560'	b'-0.9142301'	b'-0.8916987974200703'
b'ENSDARG00000006585'	b'-0.6056273'	b'-0.445714557463467'
b'ENSDARG00000006588'	b'-0.3076442'	b'0.29351589164161'
b'ENSDARG00000006609'	b'-0.1739999'	b'0.5796348791935638'
b'ENSDARG00000006683'	b'-0.8055459'	b'-0.1750838082856615'
b'ENSDARG00000006754'	b'-0.714386'	b'-0.8801480540190848'
b'ENSDARG00000006758'	b'-0.12695989'	b'-0.5521812578366491'
b'ENSDARG00000006811'	b'-0.42519763'	b'0.2803666802736649'
b'ENSDARG00000006859'	b'-0.19963178'	b'-0.3938758988177507'
b'ENSDARG00000006889'	b'-0.7743442'	b'-0.6482557601580556'
b'ENSDARG00000006921'	b'-0.6499541'	b'-0.4887422038027071'
b'ENSDARG00000006924'	b'-0.3414309'	b'-0.0331127642461274'
b'ENSDARG00000007092'	b'-0.6002821'	b'-0.3351969531184348'
b'ENSDARG00000007125'	b'-0.58377385'	b'-0.5656707583817191'
b'ENSDARG00000007207'	b'-0.065496854'	b'0.0026900666499559'
b'ENSDARG00000007279'	b'-0.19609755'	b'0.5090853255472438'
b'ENSDARG00000007289'	b'-0.5995375'	b'-0.6766977249642195'
b'ENSDARG00000007323'	b'-0.45633745'	b'0.5962541865987318'
b'ENSDARG00000007344'	b'-0.47595188'	b'0.6752431741983953'
b'ENSDARG00000007398'	b'-0.7942716'	b'-0.9707414162503886'
b'ENSDARG00000007405'	b'0.016388535'	b'0.8017942800978892'
b'ENSDARG00000007409'	b'-0.23548481'	b'0.3345102813744497'
b'ENSDARG00000007531'	b'-0.59752035'	b'0.0813383679992886'
b'ENSDARG00000007560'	b'-0.63025784'	b'-0.7514946684678286'
b'ENSDARG00000007582'	b'-0.22521931'	b'-0.9902659192617894'
b'ENSDARG00000007603'	b'-0.48632216'	b'-0.1057944241741878'
b'ENSDARG00000007639'	b'-0.44229802'	b'-0.1273470545873405'
b'ENSDARG00000007654'	b'-0.34386662'	b'-0.8222029007456478'
b'ENSDARG00000007678'	b'-0.50320137'	b'-0.5642492015288874'
b'ENSDARG00000007693'	b'-0.24275467'	b'1.0200306694554042'
b'ENSDARG00000007720'	b'-0.20526972'	b'0.5877977080129559'
b'ENSDARG00000007739'	b'-0.3272202'	b'-0.897873442155175'
b'ENSDARG00000007786'	b'-0.09021562'	b'0.6015375940478283'
b'ENSDARG00000007886'	b'-0.4800883'	b'-0.4416793175575908'
b'ENSDARG00000007941'	b'-0.2281672'	b'-0.9538054506198907'
b'ENSDARG00000007988'	b'-0.6660385'	b'-0.9182635018606649'
b'ENSDARG00000008026'	b'-0.71402276'	b'-0.3095678069836308'
b'ENSDARG00000008030'	b'-0.11598156'	b'0.93527028253114'
b'ENSDARG00000008032'	b'-0.59629035'	b'0.281114635443017'
b'ENSDARG00000008060'	b'-0.20633283'	b'-0.267944408851667'
b'ENSDARG00000008174'	b'-0.41760883'	b'-1.0'
b'ENSDARG00000008384'	b'-0.4840411'	b'-0.4341294747922056'
b'ENSDARG00000008396'	b'-0.48857638'	b'-0.0313519019222287'
b'ENSDARG00000008433'	b'-0.30743557'	b'-0.5869770186453839'
b'ENSDARG00000008473'	b'-0.51823604'	b'-0.8386459231740325'
b'ENSDARG00000008678'	b'-0.5592278'	b'0.2167160977797035'
b'ENSDARG00000008740'	b'-0.4285633'	b'-0.0179597193837165'
b'ENSDARG00000008772'	b'-0.6057806'	b'-0.8606605318331201'
b'ENSDARG00000008906'	b'-0.56662905'	b'-0.0267975729161038'
b'ENSDARG00000008979'	b'-0.69708526'	b'-0.1226502030585013'
b'ENSDARG00000008982'	b'-0.015644096'	b'0.2321181869861368'
b'ENSDARG00000009020'	b'-0.71332'	b'-0.9300396240677884'
b'ENSDARG00000009021'	b'-0.38779286'	b'-0.8072251284868598'
b'ENSDARG00000009133'	b'-0.4817248'	b'-0.4863942493501531'
b'ENSDARG00000009169'	b'-0.19114275'	b'0.514007734810318'
b'ENSDARG00000009209'	b'-0.14814746'	b'0.1548008016953951'
b'ENSDARG00000009215'	b'-0.6097951'	b'-0.3100834558810407'
b'ENSDARG00000009253'	b'-0.4032556'	b'0.2573257969617741'
b'ENSDARG00000009281'	b'-0.75554764'	b'-0.9759895044533512'
b'ENSDARG00000009727'	b'-0.28433508'	b'-0.8296244863054024'
b'ENSDARG00000009738'	b'-0.49140343'	b'-0.9799787260199786'
b'ENSDARG00000009782'	b'-0.55544865'	b'-0.149213221884852'
b'ENSDARG00000009851'	b'-0.6458143'	b'-0.189005660290022'
b'ENSDARG00000009930'	b'-0.95314157'	b'-0.9901899130040456'
b'ENSDARG00000009949'	b'-0.75707626'	b'-0.9652174468725174'
b'ENSDARG00000009978'	b'-0.48360613'	b'1.5533911496507629'
b'ENSDARG00000010031'	b'-0.08322163'	b'-0.1731315545308159'
b'ENSDARG00000010042'	b'-0.64629793'	b'-0.9409369741137428'
b'ENSDARG00000010318'	b'-0.48033923'	b'-0.5731280924651599'
b'ENSDARG00000010425'	b'-0.5181042'	b'-0.6638183165858438'
b'ENSDARG00000010432'	b'-0.15745203'	b'0.4495617706846648'
b'ENSDARG00000010717'	b'-0.33864412'	b'0.5133934024165246'
b'ENSDARG00000010782'	b'-0.5575208'	b'-0.7095735454449008'
b'ENSDARG00000010844'	b'-0.9999254'	b'-0.3539133716728099'
b'ENSDARG00000010873'	b'-0.55434334'	b'0.8207045581916592'
b'ENSDARG00000010905'	b'-0.24067992'	b'-0.2948370439723303'
b'ENSDARG00000010918'	b'-0.5695683'	b'-0.5149962603265499'
b'ENSDARG00000010936'	b'-0.3909887'	b'-0.1169818427731451'
b'ENSDARG00000011083'	b'-0.4454449'	b'-0.6077408862418414'
b'ENSDARG00000011146'	b'-0.47548917'	b'1.0538490931185016'
b'ENSDARG00000011188'	b'-0.6709397'	b'-0.1400642181176045'
b'ENSDARG00000011201'	b'-0.4793255'	b'1.2765401405681056'
b'ENSDARG00000011360'	b'-0.2757432'	b'-0.0421203901840634'
b'ENSDARG00000011422'	b'-0.5201285'	b'-0.9420676291101312'
b'ENSDARG00000011579'	b'-0.29580468'	b'-0.8658011428949969'
b'ENSDARG00000011886'	b'-0.2765776'	b'-0.75871510575224'
b'ENSDARG00000011897'	b'-0.4329365'	b'0.1796176016038492'
b'ENSDARG00000011956'	b'-0.5346178'	b'-0.9684797000097792'
b'ENSDARG00000011989'	b'-0.21838517'	b'-0.9335994304924482'
b'ENSDARG00000012013'	b'-0.38767388'	b'-0.830396374942643'
b'ENSDARG00000012019'	b'-0.84689903'	b'-0.9022598354949976'
b'ENSDARG00000012039'	b'-0.47303116'	b'-0.5481578200670436'
b'ENSDARG00000012060'	b'-0.55526644'	b'-0.8684307293785347'
